Geom;DIAMETER_MM;INSTALLATION_DATE;LINING_MATERIAL;MATERIAL;geo_point_2d
"{""coordinates"": [[-123.14805543079757, 49.267364750923804], [-123.14805502353228, 49.267375644635585]], ""type"": ""LineString""}";450;1993-01-01;blank;Ductile Iron;49.267370197779705, -123.14805522716492
"{""coordinates"": [[-123.02815186480882, 49.29071007718639], [-123.02819160305006, 49.290676353633415]], ""type"": ""LineString""}";900;1988-01-01;blank;Concrete;49.2906932154099, -123.02817173392944
"{""coordinates"": [[-123.02676376490015, 49.29132170016316], [-123.0269039418875, 49.29134617942478]], ""type"": ""LineString""}";1000;1988-01-01;blank;Steel;49.29133393979397, -123.02683385339384
"{""coordinates"": [[-123.11283134548248, 49.26568223322095], [-123.11291466070344, 49.263805266431035]], ""type"": ""LineString""}";750;1983-01-01;blank;Concrete;49.264743749825996, -123.11287300309296
"{""coordinates"": [[-123.16251387106612, 49.23844418069238], [-123.1651629718333, 49.238486110586045]], ""type"": ""LineString""}";600;2000-01-01;blank;Ductile Iron Concrete Lined;49.23846514563922, -123.16383842144973
"{""coordinates"": [[-123.1651636369961, 49.2384672376037], [-123.16519108624834, 49.23846766610976]], ""type"": ""LineString""}";600;2000-01-01;Cement Lined;Ductile Iron;49.238467451856735, -123.16517736162223
"{""coordinates"": [[-123.19486398389992, 49.25818616130007], [-123.19446341805697, 49.2581804405959]], ""type"": ""LineString""}";450;1936-01-01;blank;Steel;49.258183300947984, -123.19466370097845
"{""coordinates"": [[-123.05904341944537, 49.229419184193404], [-123.05889093080773, 49.22941818260041]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.22941868339691, -123.05896717512655
"{""coordinates"": [[-123.04241039866086, 49.20684411943158], [-123.04239364897313, 49.20684358586279]], ""type"": ""LineString""}";400;1991-01-01;Cement Lined;Ductile Iron;49.20684385264718, -123.042402023817
"{""coordinates"": [[-123.07399707869581, 49.27766607275529], [-123.07409254273988, 49.27760718308545]], ""type"": ""LineString""}";750;1989-01-01;blank;Concrete;49.27763662792037, -123.07404481071785
"{""coordinates"": [[-123.10517324122388, 49.2303329674236], [-123.10435889249851, 49.23031755047849], [-123.10434389286215, 49.23031726718442]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.230325116973496, -123.10475856704926
"{""coordinates"": [[-123.10581492539005, 49.23036887519375], [-123.10572865679325, 49.230364051766756]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.23036646348025, -123.10577179109166
"{""coordinates"": [[-123.1065150109064, 49.23037804563041], [-123.10626768307931, 49.2303806301709]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.23037933790066, -123.10639134699287
"{""coordinates"": [[-123.02502760602448, 49.22927886742328], [-123.02511305174772, 49.22927829117371]], ""type"": ""LineString""}";450;1999-01-01;Cement Lined;Ductile Iron;49.229278579298494, -123.02507032888612
"{""coordinates"": [[-123.0249986456115, 49.22926531784084], [-123.02502760602448, 49.22927886742328]], ""type"": ""LineString""}";450;1999-01-01;Cement Lined;Ductile Iron;49.22927209263206, -123.02501312581799
"{""coordinates"": [[-123.05652157079261, 49.28759978785102], [-123.05657620076839, 49.28758437038661]], ""type"": ""LineString""}";750;1986-01-01;blank;Concrete;49.28759207911882, -123.0565488857805
"{""coordinates"": [[-123.07419828503585, 49.27671983032237], [-123.07419880366155, 49.27669896116174]], ""type"": ""LineString""}";750;1989-01-01;blank;Concrete;49.27670939574206, -123.07419854434869
"{""coordinates"": [[-123.07439678486068, 49.27571592998358], [-123.07440350383928, 49.27533866754931]], ""type"": ""LineString""}";750;1989-01-01;blank;Concrete;49.27552729876645, -123.07440014434997
"{""coordinates"": [[-123.0655859044385, 49.27568210198097], [-123.06558632965252, 49.275660630231386]], ""type"": ""LineString""}";450;1982-01-01;Cement Lined;Ductile Iron;49.27567136610618, -123.0655861170455
"{""coordinates"": [[-123.07773703252482, 49.265206084901145], [-123.07769583807377, 49.26520577079191]], ""type"": ""LineString""}";450;1961-01-01;blank;Cast Iron;49.26520592784652, -123.0777164352993
"{""coordinates"": [[-123.02782399432182, 49.2910669586592], [-123.02805246353385, 49.29087846379395]], ""type"": ""LineString""}";450;1988-01-01;Cement Lined;Ductile Iron;49.29097271122657, -123.02793822892784
"{""coordinates"": [[-123.21195025418135, 49.2665410236751], [-123.21197682787817, 49.26638788547533], [-123.21200324820148, 49.26566642124058]], ""type"": ""LineString""}";450;1972-01-01;Cement Lined;Ductile Iron;49.2661046211834, -123.21198534409966
"{""coordinates"": [[-123.027539238605, 49.291212208766645], [-123.02772777996336, 49.2910605232601]], ""type"": ""LineString""}";900;1988-01-01;blank;Concrete;49.291136366013376, -123.02763350928419
"{""coordinates"": [[-123.10174673366555, 49.230268463828104], [-123.10173304028311, 49.23026884469358]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.23026865426084, -123.10173988697433
"{""coordinates"": [[-123.02359570605459, 49.2292730699886], [-123.02359470902115, 49.22922720337377]], ""type"": ""LineString""}";450;1999-01-01;Cement Lined;Ductile Iron;49.22925013668119, -123.0235952075379
"{""coordinates"": [[-123.02834018934585, 49.27531071688855], [-123.02833957851074, 49.27496441137934]], ""type"": ""LineString""}";900;1990-01-01;Cement Lined;Ductile Iron;49.27513756413394, -123.0283398839283
"{""coordinates"": [[-123.02475099763238, 49.23274849576149], [-123.0247514897309, 49.233266064449765]], ""type"": ""LineString""}";600;1994-01-01;Cement Lined;Ductile Iron;49.233007280105625, -123.02475124368164
"{""coordinates"": [[-123.16548924415645, 49.23849935242148], [-123.1654238087156, 49.238490235004534]], ""type"": ""LineString""}";600;2000-01-01;Cement Lined;Ductile Iron;49.238494793713, -123.16545652643605
"{""coordinates"": [[-123.0352777872361, 49.288181568939656], [-123.03530253985774, 49.28818158836586]], ""type"": ""LineString""}";1000;1991-01-01;blank;Steel;49.288181578652754, -123.03529016354692
"{""coordinates"": [[-123.03699051360454, 49.28819617223716], [-123.03908062562178, 49.288806606790494]], ""type"": ""LineString""}";900;1988-01-01;blank;Concrete;49.288501389513826, -123.03803556961317
"{""coordinates"": [[-123.03820002913672, 49.22929868622992], [-123.03757748358137, 49.229295796047005], [-123.0373368276561, 49.22929145740791], [-123.03434809402131, 49.22928568325945]], ""type"": ""LineString""}";1500;1998-01-01;Epoxy;Steel;49.22929028764967, -123.0362740757773
"{""coordinates"": [[-123.03489720446102, 49.27321965544794], [-123.03489680168725, 49.27323332825671]], ""type"": ""LineString""}";600;1990-01-01;Cement Lined;Ductile Iron;49.27322649185233, -123.03489700307414
"{""coordinates"": [[-123.04673567520042, 49.28771810182257], [-123.04698913953, 49.28771809797965]], ""type"": ""LineString""}";750;1988-01-01;blank;Concrete;49.28771809990111, -123.04686240736521
"{""coordinates"": [[-123.11379326440543, 49.268175713106466], [-123.11377329257475, 49.26815819213562]], ""type"": ""LineString""}";750;1983-01-01;blank;Steel;49.268166952621044, -123.1137832784901
