Geom;DIAMETER_MM;INSTALLATION_DATE;LINING_MATERIAL;MATERIAL;geo_point_2d
"{""coordinates"": [[-123.08496881708582, 49.28011604513175], [-123.08482862567926, 49.28011343159035]], ""type"": ""LineString""}";600;2015-03-20;;Ductile Iron Concrete Lined;49.28011473836105, -123.08489872138254
"{""coordinates"": [[-123.09130499796119, 49.280203151917796], [-123.09174224977623, 49.28020987579812]], ""type"": ""LineString""}";600;2015-03-20;;Ductile Iron Concrete Lined;49.28020651385796, -123.09152362386871
"{""coordinates"": [[-123.0818919036468, 49.280029556272694], [-123.08186440453738, 49.280029108008954]], ""type"": ""LineString""}";600;2015-03-20;CENT;Ductile Iron Concrete Lined;49.28002933214083, -123.0818781540921
"{""coordinates"": [[-123.08186440453738, 49.280029108008954], [-123.08181749106843, 49.28002834966045]], ""type"": ""LineString""}";600;2015-03-20;CENT;Ductile Iron Concrete Lined;49.2800287288347, -123.08184094780289
"{""coordinates"": [[-123.08061021414761, 49.280001582982635], [-123.07970581940481, 49.2800006811834]], ""type"": ""LineString""}";600;2015-03-20;CENT;Ductile Iron Concrete Lined;49.280001132083015, -123.08015801677621
"{""coordinates"": [[-123.09578994131495, 49.28033024795381], [-123.09503838588219, 49.28031245540446]], ""type"": ""LineString""}";600;2015-03-20;;Ductile Iron Concrete Lined;49.280321351679135, -123.09541416359858
"{""coordinates"": [[-123.15334446378522, 49.25730071254805], [-123.15333965154626, 49.25742420529053], [-123.15331312644854, 49.257423790730535]], ""type"": ""LineString""}";450;1960-01-01;blank;Cast Iron;49.257373334127465, -123.15333928869359
"{""coordinates"": [[-123.08260907285164, 49.28004484131842], [-123.08225635529713, 49.280039048182516]], ""type"": ""LineString""}";600;2015-03-20;CENT;Ductile Iron Concrete Lined;49.280041944750465, -123.0824327140744
"{""coordinates"": [[-123.082210995514, 49.280038315873284], [-123.0818919036468, 49.280029556272694]], ""type"": ""LineString""}";600;2015-03-20;CENT;Ductile Iron Concrete Lined;49.28003393607298, -123.0820514495804
"{""coordinates"": [[-123.08470615022293, 49.28013093610461], [-123.08419578390098, 49.28011738457059]], ""type"": ""LineString""}";600;1966-02-14;Coal Tar;Steel;49.2801241603376, -123.08445096706197
"{""coordinates"": [[-123.08319252865172, 49.28009923934717], [-123.08310648408097, 49.28009801495348]], ""type"": ""LineString""}";600;2015-03-20;CENT;Ductile Iron Concrete Lined;49.28009862715032, -123.08314950636634
"{""coordinates"": [[-123.08310648408097, 49.28009801495348], [-123.0831028605889, 49.28008539732293]], ""type"": ""LineString""}";600;2015-03-20;CENT;Ductile Iron Concrete Lined;49.28009170613821, -123.08310467233494
"{""coordinates"": [[-123.08320240080975, 49.28009937616201], [-123.08319252865172, 49.28009923934717]], ""type"": ""LineString""}";600;2015-03-20;CENT;Ductile Iron Concrete Lined;49.2800993077546, -123.08319746473074
"{""coordinates"": [[-123.0912743603632, 49.28023806842352], [-123.09030319836774, 49.28021655940407]], ""type"": ""LineString""}";600;2015-03-20;;Ductile Iron Concrete Lined;49.2802273139138, -123.09078877936547
"{""coordinates"": [[-123.08163486953543, 49.28002539347739], [-123.08061983872108, 49.280001675214955]], ""type"": ""LineString""}";600;2015-03-20;CENT;Ductile Iron Concrete Lined;49.28001353434617, -123.08112735412826
"{""coordinates"": [[-123.07967763846091, 49.280029305289105], [-123.07964463989212, 49.28002897722641]], ""type"": ""LineString""}";600;2015-03-20;CENT;Ductile Iron Concrete Lined;49.28002914125776, -123.07966113917652
"{""coordinates"": [[-123.0247526282642, 49.234500041644594], [-123.02475273887225, 49.23461143878823]], ""type"": ""LineString""}";600;2015-11-23;;Ductile Iron Concrete Lined;49.23455574021641, -123.02475268356822
"{""coordinates"": [[-123.02475227336875, 49.23411966859242], [-123.0247526282642, 49.234500041644594]], ""type"": ""LineString""}";600;1994-01-01;Cement Lined;Ductile Iron;49.23430985511851, -123.02475245081648
"{""coordinates"": [[-123.14813094360737, 49.221330766780056], [-123.1481291994832, 49.22137669888681]], ""type"": ""LineString""}";1200;2015-12-31;Epoxy;Steel;49.221353732833435, -123.14813007154528
"{""coordinates"": [[-123.14550345100149, 49.24184685676438], [-123.14550959972426, 49.24166707011047]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.24175696343742, -123.14550652536288
"{""coordinates"": [[-123.14829198751812, 49.2183284315581], [-123.14828582562494, 49.218485766895306]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.2184070992267, -123.14828890657154
"{""coordinates"": [[-123.14829641412733, 49.21821531923646], [-123.14829198751812, 49.2183284315581]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.218271875397285, -123.14829420082273
"{""coordinates"": [[-123.14562195678855, 49.242107407546904], [-123.14562366369934, 49.242057139985]], ""type"": ""LineString""}";1200;2015-12-31;Epoxy;Steel;49.24208227376596, -123.14562281024395
"{""coordinates"": [[-123.14562366369934, 49.242057139985], [-123.1456246885266, 49.24202721152402]], ""type"": ""LineString""}";1200;2015-12-31;Epoxy;Steel;49.242042175754506, -123.14562417611296
"{""coordinates"": [[-123.14921212489864, 49.207564322259756], [-123.14901826665776, 49.20827121593757]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.20791776909867, -123.1491151957782
"{""coordinates"": [[-123.14901826665776, 49.20827121593757], [-123.14903523197798, 49.20833381029525]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.20830251311641, -123.14902674931788
"{""coordinates"": [[-123.14856193507919, 49.209632881643934], [-123.14859128175414, 49.209749548820284]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.20969121523211, -123.14857660841666
"{""coordinates"": [[-123.14852653061335, 49.21143552955346], [-123.14846492091677, 49.21303945070718]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.21223749013032, -123.14849572576506
"{""coordinates"": [[-123.14846492091677, 49.21303945070718], [-123.14845923967069, 49.213187250576766]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.213113350641976, -123.14846208029373
"{""coordinates"": [[-123.14938300195205, 49.20727428194767], [-123.14948203370041, 49.207289418846095]], ""type"": ""LineString""}";900;2015-12-31;Epoxy;Steel;49.20728185039689, -123.14943251782624
"{""coordinates"": [[-123.14940524007162, 49.20744647712598], [-123.14937755931545, 49.207454599698394]], ""type"": ""LineString""}";900;2015-12-31;Epoxy;Steel;49.20745053841219, -123.14939139969354
"{""coordinates"": [[-123.14837274960892, 49.21591208746785], [-123.14808096780716, 49.216104016431856]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.216008051949856, -123.14822685870804
"{""coordinates"": [[-123.14837274960892, 49.21591208746785], [-123.14839591215501, 49.215865444158155]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.215888765813006, -123.14838433088197
"{""coordinates"": [[-123.14806530255233, 49.21615076700506], [-123.14831123069055, 49.21659057266575]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.216370669835406, -123.14818826662145
"{""coordinates"": [[-123.14831123069055, 49.21659057266575], [-123.14825155052903, 49.21815987595156]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.217375224308654, -123.14828139060978
"{""coordinates"": [[-123.1482371773379, 49.21853780405587], [-123.14821391745049, 49.219149359897486]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.21884358197668, -123.14822554739419
"{""coordinates"": [[-123.14821373932078, 49.21915408264683], [-123.14820775552143, 49.219311390742824]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.21923273669483, -123.14821074742112
"{""coordinates"": [[-123.14820091877948, 49.21949116113558], [-123.14819408201629, 49.21967094051757]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.21958105082657, -123.14819750039787
"{""coordinates"": [[-123.14819408201629, 49.21967094051757], [-123.14816929317955, 49.22032263511176]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.219996787814665, -123.1481816875979
"{""coordinates"": [[-123.14809920143136, 49.22216535298421], [-123.14802569249619, 49.22409795533859]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.223131654161406, -123.14806244696378
"{""coordinates"": [[-123.14800465552077, 49.22465076858988], [-123.14795027918711, 49.22607998842523]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.22536537850756, -123.14797746735394
"{""coordinates"": [[-123.14791679939277, 49.226960191104624], [-123.14793127486584, 49.22718079943957]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.2270704952721, -123.14792403712931
"{""coordinates"": [[-123.14792076163208, 49.22747313202453], [-123.14779617015577, 49.230934110577245]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.22920362130088, -123.14785846589393
"{""coordinates"": [[-123.14779617015577, 49.230934110577245], [-123.14778323193764, 49.23129351470974]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.23111381264349, -123.14778970104672
"{""coordinates"": [[-123.14766542267832, 49.23456595961909], [-123.14764214512147, 49.23460942745008]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.234587693534586, -123.1476537838999
"{""coordinates"": [[-123.14760793298618, 49.23555177786295], [-123.14758509510794, 49.23618100689238]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.235866392377666, -123.14759651404705
"{""coordinates"": [[-123.14743114405695, 49.23756090389279], [-123.14732788586808, 49.23763675762767]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.237598830760234, -123.14737951496254
"{""coordinates"": [[-123.14644882654301, 49.23820292984929], [-123.14644384897099, 49.23820603052438]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.23820448018683, -123.146446337757
"{""coordinates"": [[-123.14556827249606, 49.23995010102828], [-123.14555905001444, 49.2402197810916]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.24008494105993, -123.14556366125525
"{""coordinates"": [[-123.14550332682995, 49.241851354541794], [-123.14549886005209, 49.24198170122261]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.2419165278822, -123.14550109344103
"{""coordinates"": [[-123.14549886005209, 49.24198170122261], [-123.14549578565834, 49.24207159454516]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.24202664788389, -123.14549732285523
"{""coordinates"": [[-123.14549386231718, 49.242127736270305], [-123.14549320417045, 49.24214688796844]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.24213731211937, -123.1454935332438
"{""coordinates"": [[-123.14551653208397, 49.2421280675277], [-123.14558730297937, 49.24212910276926]], ""type"": ""LineString""}";1200;2015-12-31;Epoxy;Steel;49.24212858514848, -123.14555191753166
"{""coordinates"": [[-123.09361499906646, 49.28028637994076], [-123.09348741542881, 49.2802841085063]], ""type"": ""LineString""}";600;2015-03-20;;Ductile Iron Concrete Lined;49.280285244223535, -123.09355120724763
"{""coordinates"": [[-123.09337600482431, 49.2802839017492], [-123.09330576382254, 49.28028599139964]], ""type"": ""LineString""}";600;2015-03-20;;Ductile Iron Concrete Lined;49.28028494657442, -123.09334088432342
"{""coordinates"": [[-123.14631441790299, 49.23828656706176], [-123.14598038254468, 49.23849439306072]], ""type"": ""LineString""}";1500;2015-12-31;Epoxy;Steel;49.23839048006125, -123.14614740022384
"{""coordinates"": [[-123.02475273887225, 49.23461143878823], [-123.02475283678706, 49.23472492283022]], ""type"": ""LineString""}";600;1994-01-01;Cement Lined;Ductile Iron;49.23466818080922, -123.02475278782966
"{""coordinates"": [[-123.14638155165676, 49.23817901579174], [-123.14619614137756, 49.23817628214442]], ""type"": ""LineString""}";750;1931-01-01;CENT;Steel;49.238177648968076, -123.14628884651717
"{""coordinates"": [[-123.14909867388988, 49.20730154525284], [-123.14894526651345, 49.20730174317385]], ""type"": ""LineString""}";900;2015-12-31;Epoxy;Steel;49.207301644213345, -123.14902197020164
"{""coordinates"": [[-123.14946605466444, 49.207125959006895], [-123.14954914502006, 49.20724975267063]], ""type"": ""LineString""}";1200;2015-12-31;Epoxy;Steel;49.20718785583876, -123.14950759984227
"{""coordinates"": [[-123.1495322912999, 49.20729709874442], [-123.14948759730046, 49.20742259600136]], ""type"": ""LineString""}";1200;2015-12-31;Epoxy;Steel;49.207359847372885, -123.14950994430019
"{""coordinates"": [[-123.09237986870451, 49.28022362515799], [-123.09254943082367, 49.280271190909694]], ""type"": ""LineString""}";600;2015-03-20;;Ductile Iron Concrete Lined;49.28024740803385, -123.0924646497641
"{""coordinates"": [[-123.11106130942606, 49.28226526759088], [-123.11176325974158, 49.28271944089389]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.282492354242386, -123.11141228458382
"{""coordinates"": [[-123.11176325974158, 49.28271944089389], [-123.11178559082481, 49.28271996799871]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.28271970444629, -123.11177442528319
"{""coordinates"": [[-123.10424872293224, 49.28051194186519], [-123.10427345904816, 49.28051245925672]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.280512200560956, -123.1042610909902
"{""coordinates"": [[-123.10448839864831, 49.28051079888097], [-123.10450887925212, 49.28051452235398]], ""type"": ""LineString""}";500;2016-06-24;;Ductile Iron Concrete Lined;49.280512660617475, -123.1044986389502
"{""coordinates"": [[-123.10450887925212, 49.28051452235398], [-123.10452943843842, 49.28051639274534]], ""type"": ""LineString""}";500;2016-06-24;;Ductile Iron Concrete Lined;49.28051545754966, -123.10451915884529
"{""coordinates"": [[-123.10456359111484, 49.2805225955046], [-123.10459405758036, 49.28052813594721]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.28052536572591, -123.1045788243476
"{""coordinates"": [[-123.10040358824455, 49.280396736481926], [-123.1004461026634, 49.280397536084564]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.28039713628324, -123.10042484545397
"{""coordinates"": [[-123.10050253188615, 49.280398593425154], [-123.10052242182049, 49.2804162876322]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.28040744052868, -123.10051247685331
"{""coordinates"": [[-123.10459405758036, 49.28052813594721], [-123.10737236047731, 49.281036882675]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.280782509311095, -123.10598320902885
"{""coordinates"": [[-123.1129104527115, 49.283463917757224], [-123.11367754050531, 49.28395819712377]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.2837110574405, -123.1132939966084
"{""coordinates"": [[-123.10208352162748, 49.280445430674476], [-123.10240491206974, 49.28045233344396]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.28044888205922, -123.10224421684862
"{""coordinates"": [[-123.10243109095238, 49.280478989942715], [-123.10307572283527, 49.280490020487974]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.28048450521534, -123.10275340689381
"{""coordinates"": [[-123.10847494224548, 49.28123675119764], [-123.10854777629147, 49.28125057135677]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.2812436612772, -123.10851135926848
"{""coordinates"": [[-123.10858172036588, 49.281242713659864], [-123.10982910743174, 49.28146689997963]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.28135480681975, -123.1092054138988
"{""coordinates"": [[-123.10991264336953, 49.28148251713654], [-123.10996457940956, 49.28149042845609]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.28148647279632, -123.10993861138954
"{""coordinates"": [[-123.11375352889661, 49.283995956047676], [-123.11376471076395, 49.28400318615481]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.28399957110125, -123.11375911983026
"{""coordinates"": [[-123.11197034970627, 49.28285402413002], [-123.11195273773193, 49.2828426443065]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.28284833421826, -123.11196154371912
"{""coordinates"": [[-123.02805246353385, 49.29087846379395], [-123.0280048531583, 49.29085372065827]], ""type"": ""LineString""}";450;1988-01-01;Cement Lined;Ductile Iron;49.29086609222611, -123.02802865834607
"{""coordinates"": [[-123.15461770156291, 49.24089335103388], [-123.15458947801615, 49.24091374504133]], ""type"": ""LineString""}";800;1940-01-01;blank;Steel;49.24090354803761, -123.15460358978955
"{""coordinates"": [[-123.1100918788593, 49.28152388624177], [-123.11013468658071, 49.28154475024272]], ""type"": ""LineString""}";600;2016-06-24;;Ductile Iron Concrete Lined;49.28153431824225, -123.11011328272
"{""coordinates"": [[-123.12540017933975, 49.283563955108114], [-123.12533164396987, 49.28351876573952]], ""type"": ""LineString""}";750;1981-01-01;blank;Concrete;49.28354136042382, -123.12536591165481
"{""coordinates"": [[-123.11837136835977, 49.278324984707915], [-123.11819552646412, 49.27821164549296]], ""type"": ""LineString""}";750;1983-01-01;blank;Concrete;49.278268315100426, -123.11828344741195
"{""coordinates"": [[-123.18654431394509, 49.25019388215458], [-123.1879308281378, 49.25019800372]], ""type"": ""LineString""}";450;1930-01-01;CENT;Steel;49.25019594293729, -123.18723757104144
"{""coordinates"": [[-123.04258483277182, 49.27317945103127], [-123.03919891599455, 49.27317517123348]], ""type"": ""LineString""}";800;1974-01-01;CENT;Steel;49.27317731113237, -123.04089187438319
"{""coordinates"": [[-123.14694832003674, 49.238187453411975], [-123.14652710766353, 49.23818120601156]], ""type"": ""LineString""}";750;1931-01-01;CENT;Steel;49.23818432971177, -123.14673771385014
"{""coordinates"": [[-123.1888542549458, 49.250200734688086], [-123.19067157925858, 49.2502060882917]], ""type"": ""LineString""}";450;1930-01-01;CENT;Steel;49.25020341148989, -123.18976291710219
"{""coordinates"": [[-123.11646427646069, 49.22608311877399], [-123.11645980293594, 49.22619577998371]], ""type"": ""LineString""}";1050;2009-02-10;;Steel;49.22613944937885, -123.11646203969832
"{""coordinates"": [[-123.11654123344033, 49.22632433014811], [-123.11653215239612, 49.22629982721269]], ""type"": ""LineString""}";1050;2009-02-10;;Steel;49.2263120786804, -123.11653669291823
"{""coordinates"": [[-123.11646826886654, 49.22622155187779], [-123.11645980293594, 49.22619577998371]], ""type"": ""LineString""}";1050;2009-02-10;;Steel;49.226208665930756, -123.11646403590123
"{""coordinates"": [[-123.11651460183135, 49.227054097821096], [-123.11652529665356, 49.227028891300044]], ""type"": ""LineString""}";1050;2009-02-10;;Steel;49.22704149456057, -123.11651994924246
"{""coordinates"": [[-123.1164205866761, 49.227169889688554], [-123.1164156294865, 49.227293066825396]], ""type"": ""LineString""}";1050;2009-02-10;;Steel;49.227231478256975, -123.11641810808129
"{""coordinates"": [[-123.11624193537887, 49.23159895780707], [-123.11627312350927, 49.2308298049513]], ""type"": ""LineString""}";1050;;blank;<blank>;49.23121438137919, -123.11625752944407
"{""coordinates"": [[-123.11620808706424, 49.235298361871834], [-123.11623189962748, 49.23527781974875]], ""type"": ""LineString""}";1050;2009-02-10;;Steel;49.23528809081029, -123.11621999334585
"{""coordinates"": [[-123.11623189962748, 49.23527781974875], [-123.11624471192219, 49.235252656135984]], ""type"": ""LineString""}";1050;2009-02-10;;Steel;49.23526523794237, -123.11623830577483
"{""coordinates"": [[-123.11631396888929, 49.23341988474139], [-123.11632697894653, 49.23307552432564]], ""type"": ""LineString""}";1050;2009-02-10;;Steel;49.23324770453351, -123.11632047391791
"{""coordinates"": [[-123.1163734831538, 49.231844809642816], [-123.11636308311246, 49.231820550918044]], ""type"": ""LineString""}";1050;2009-02-10;;Steel;49.231832680280434, -123.11636828313311
"{""coordinates"": [[-123.11624810257584, 49.23172182680382], [-123.11623789494321, 49.23169757686892]], ""type"": ""LineString""}";1050;2009-02-10;;Steel;49.231709701836365, -123.11624299875955
"{""coordinates"": [[-123.11631116794247, 49.229886541841864], [-123.1164156294865, 49.227293066825396]], ""type"": ""LineString""}";1050;;blank;<blank>;49.22858980433363, -123.11636339871448
"{""coordinates"": [[-123.11650283434919, 49.225110088965735], [-123.11646427646069, 49.22608311877399]], ""type"": ""LineString""}";1050;;blank;<blank>;49.22559660386986, -123.11648355540494
"{""coordinates"": [[-123.11338702290811, 49.21696195189489], [-123.1133938889198, 49.2169620261125]], ""type"": ""LineString""}";400;2019-02-27;;Ductile Iron Concrete Lined;49.21696198900369, -123.11339045591396
"{""coordinates"": [[-123.13304525533982, 49.20854334255394], [-123.13196204340866, 49.208525191307835]], ""type"": ""LineString""}";450;1961-01-01;Cement Lined;Cast Iron;49.20853426693088, -123.13250364937423
"{""coordinates"": [[-123.06753385497667, 49.28218692419621], [-123.0680459470825, 49.28219342412507]], ""type"": ""LineString""}";750;1985-01-01;blank;Concrete;49.28219017416064, -123.06778990102958
"{""coordinates"": [[-123.11946287647267, 49.283253516710545], [-123.1194750378081, 49.2832276520016]], ""type"": ""LineString""}";450;1971-01-01;Cement Lined;Ductile Iron;49.28324058435607, -123.11946895714038
"{""coordinates"": [[-123.13476804325424, 49.234244691429474], [-123.13476738277181, 49.23426447276196]], ""type"": ""LineString""}";500;1969-01-01;CENT;Ductile Iron Concrete Lined;49.234254582095716, -123.13476771301302
"{""coordinates"": [[-123.19703159163132, 49.25821744951469], [-123.19698124747373, 49.25821668081244]], ""type"": ""LineString""}";450;1936-01-01;blank;Steel;49.258217065163564, -123.19700641955252
"{""coordinates"": [[-123.18858479270429, 49.25019993350737], [-123.1888542549458, 49.250200734688086]], ""type"": ""LineString""}";450;1930-01-01;CENT;Steel;49.25020033409773, -123.18871952382504
"{""coordinates"": [[-123.12126574848756, 49.28773462582156], [-123.1204172525311, 49.287492760502445]], ""type"": ""LineString""}";600;1928-01-01;blank;Steel;49.287613693162, -123.12084150050933
"{""coordinates"": [[-123.12321277792383, 49.288300026387866], [-123.12233070105799, 49.28803816970307], [-123.12128087177152, 49.287738936626226]], ""type"": ""LineString""}";600;1928-01-01;blank;Steel;49.28801686635991, -123.12224758569235
"{""coordinates"": [[-123.12128087177152, 49.287738936626226], [-123.12126574848756, 49.28773462582156]], ""type"": ""LineString""}";600;2022-08-29;blank;Steel;49.28773678122389, -123.12127331012954
"{""coordinates"": [[-123.06580023099384, 49.26503273184665], [-123.06580081026438, 49.26499287377501]], ""type"": ""LineString""}";450;1981-01-01;Cement Lined;Ductile Iron;49.26501280281083, -123.06580052062911
"{""coordinates"": [[-123.12816713048223, 49.28536952497994], [-123.12815054672419, 49.285358740169926]], ""type"": ""LineString""}";750;2021-05-28;;Ductile Iron Concrete Lined;49.285364132574934, -123.12815883860321
"{""coordinates"": [[-123.13114047863145, 49.287303173106835], [-123.12974757641659, 49.28640144143636]], ""type"": ""LineString""}";750;2021-05-28;;Ductile Iron Concrete Lined;49.286852307271594, -123.13044402752402
"{""coordinates"": [[-123.02363426176952, 49.20488234248606], [-123.02367062814216, 49.20488237102034]], ""type"": ""LineString""}";400;1988-01-01;blank;Steel;49.2048823567532, -123.02365244495583
"{""coordinates"": [[-123.0657745583386, 49.26592432386619], [-123.06576956760779, 49.26682312711604]], ""type"": ""LineString""}";450;1981-01-01;Cement Lined;Ductile Iron;49.266373725491114, -123.0657720629732
"{""coordinates"": [[-123.07423951748171, 49.27311156442777], [-123.07428814221126, 49.2731120099209]], ""type"": ""LineString""}";800;1912-01-01;CENT;Steel;49.27311178717434, -123.07426382984649
"{""coordinates"": [[-123.12604044923084, 49.28400908637767], [-123.12577012565592, 49.283833498259426]], ""type"": ""LineString""}";750;2021-05-28;;Ductile Iron Concrete Lined;49.28392129231856, -123.12590528744337
"{""coordinates"": [[-123.12797504465576, 49.28523033967557], [-123.12796230284786, 49.2852216554538]], ""type"": ""LineString""}";750;2021-05-28;;Ductile Iron Concrete Lined;49.28522599756469, -123.12796867375181
"{""coordinates"": [[-123.15332659340147, 49.25724597337558], [-123.15332005154879, 49.25724589210479]], ""type"": ""LineString""}";900;2013-03-01;Epoxy;Steel;49.25724593274019, -123.15332332247513
"{""coordinates"": [[-123.16563065649284, 49.24044566723681], [-123.16568985851352, 49.238874058775345]], ""type"": ""LineString""}";600;2019-09-06;;Ductile Iron Concrete Lined;49.23965986300608, -123.16566025750318
"{""coordinates"": [[-123.13825740877049, 49.293476741785504], [-123.1382523307351, 49.293490348544026]], ""type"": ""LineString""}";900;2021-01-27;;Ductile Iron Concrete Lined;49.29348354516476, -123.13825486975279
"{""coordinates"": [[-123.13811486920866, 49.29357860252723], [-123.1381972249266, 49.29352556754655]], ""type"": ""LineString""}";750;2021-01-27;;Ductile Iron Concrete Lined;49.29355208503689, -123.13815604706764
"{""coordinates"": [[-123.13830254890904, 49.29340408782645], [-123.13825740877049, 49.293476741785504]], ""type"": ""LineString""}";900;2021-01-27;;Ductile Iron Concrete Lined;49.29344041480597, -123.13827997883975
"{""coordinates"": [[-123.13640985069489, 49.290744129109974], [-123.13640580986902, 49.29072004482797]], ""type"": ""LineString""}";900;2021-05-25;;Ductile Iron Concrete Lined;49.290732086968966, -123.13640783028195
"{""coordinates"": [[-123.12612297859069, 49.28406303933997], [-123.12610547277417, 49.28405159859285]], ""type"": ""LineString""}";750;2021-05-28;;Ductile Iron Concrete Lined;49.28405731896642, -123.12611422568243
"{""coordinates"": [[-123.12810850921706, 49.28533154040319], [-123.12811919941649, 49.28532321701116]], ""type"": ""LineString""}";750;2021-05-28;;Ductile Iron Concrete Lined;49.28532737870718, -123.12811385431678
"{""coordinates"": [[-123.12579236806047, 49.28675565493478], [-123.12584538309233, 49.28678992278208]], ""type"": ""LineString""}";600;2022-04-05;;Ductile Iron Concrete Lined;49.28677278885843, -123.1258188755764
"{""coordinates"": [[-123.1248233035166, 49.287436524763876], [-123.12480560767965, 49.28744821960769]], ""type"": ""LineString""}";600;2022-04-05;;Ductile Iron Concrete Lined;49.28744237218578, -123.12481445559813
"{""coordinates"": [[-123.12364155101987, 49.28821824309263], [-123.12361447791429, 49.28823615445143]], ""type"": ""LineString""}";600;2022-04-05;;Ductile Iron Concrete Lined;49.288227198772034, -123.12362801446706
"{""coordinates"": [[-123.12367249561689, 49.28819777295626], [-123.12364155101987, 49.28821824309263]], ""type"": ""LineString""}";600;2022-04-05;;Ductile Iron Concrete Lined;49.28820800802444, -123.12365702331837
"{""coordinates"": [[-123.12389387094167, 49.28805133734682], [-123.12367249561689, 49.28819777295626]], ""type"": ""LineString""}";600;2022-04-05;;Ductile Iron Concrete Lined;49.28812455515154, -123.12378318327927
"{""coordinates"": [[-123.12351487556099, 49.288302024631584], [-123.12350521049316, 49.28830842153131]], ""type"": ""LineString""}";600;2022-04-05;;Ductile Iron Concrete Lined;49.28830522308145, -123.12351004302707
"{""coordinates"": [[-123.12253129081444, 49.20505491390543], [-123.12249543802497, 49.20501834106934]], ""type"": ""LineString""}";450;1948-09-08;;Cast Iron;49.20503662748739, -123.12251336441969
"{""coordinates"": [[-123.12278879848704, 49.2053283313869], [-123.12253129081444, 49.20505491390543]], ""type"": ""LineString""}";450;1948-09-08;;Cast Iron;49.20519162264617, -123.12266004465073
"{""coordinates"": [[-123.12637792724044, 49.286367468067404], [-123.12640781224447, 49.28634759203144]], ""type"": ""LineString""}";600;2022-04-05;;Ductile Iron Concrete Lined;49.28635753004942, -123.12639286974247
"{""coordinates"": [[-123.12600973716249, 49.28661237689767], [-123.12637792724044, 49.286367468067404]], ""type"": ""LineString""}";600;2022-04-05;;Ductile Iron Concrete Lined;49.28648992248254, -123.12619383220147
"{""coordinates"": [[-123.13831297624387, 49.29334112720968], [-123.13830254890904, 49.29340408782645]], ""type"": ""LineString""}";900;2021-01-27;;Ductile Iron Concrete Lined;49.293372607518066, -123.13830776257646
