SUBSYSTEM;SIZE;OPEN_IND;X_OFFSET_FROM_PROP_LINE_M;X_OFFSET_DIRECTION;Y_OFFSET_FROM_PROP_LINE_M;Y_OFFSET_DIRECTION;Geom;Geo Local Area;geo_point_2d
Distribution;SMALL;OPEN;7.0;E;13.1;N;"{""coordinates"": [-123.08587909704319, 49.274121611195056], ""type"": ""Point""}";Strathcona;49.274121611195056, -123.08587909704319
Distribution;SMALL;OPEN;0.3;W;9.8;N;"{""coordinates"": [-123.03173327921348, 49.238169717932855], ""type"": ""Point""}";Renfrew-Collingwood;49.238169717932855, -123.03173327921348
Distribution;SMALL;OPEN;4.6;E;8.5;S;"{""coordinates"": [-123.07453997331868, 49.27310871741119], ""type"": ""Point""}";Grandview-Woodland;49.27310871741119, -123.07453997331868
Distribution;SMALL;OPEN;1.5;E;0.0;N;"{""coordinates"": [-123.03198555607156, 49.27670651955542], ""type"": ""Point""}";Hastings-Sunrise;49.27670651955542, -123.03198555607156
Distribution;SMALL;OPEN;1.5;E;0.0;N;"{""coordinates"": [-123.03199639175975, 49.27834623031557], ""type"": ""Point""}";Hastings-Sunrise;49.27834623031557, -123.03199639175975
Distribution;SMALL;OPEN;0.0;W;5.8;N;"{""coordinates"": [-123.0320453692985, 49.27903242306826], ""type"": ""Point""}";Hastings-Sunrise;49.27903242306826, -123.0320453692985
Distribution;SMALL;OPEN;7.9;E;0.0;N;"{""coordinates"": [-123.11111944653759, 49.25783937732567], ""type"": ""Point""}";Mount Pleasant;49.25783937732567, -123.11111944653759
Distribution;SMALL;OPEN;3.7;W;0.0;N;"{""coordinates"": [-123.08486004204346, 49.27749268941269], ""type"": ""Point""}";Strathcona;49.27749268941269, -123.08486004204346
Distribution;SMALL;OPEN;6.4;W;0.0;N;"{""coordinates"": [-123.08493861505781, 49.27658824687275], ""type"": ""Point""}";Strathcona;49.27658824687275, -123.08493861505781
Distribution;SMALL;OPEN;3.7;W;2.7;N;"{""coordinates"": [-123.08478614152651, 49.279135470810616], ""type"": ""Point""}";Strathcona;49.279135470810616, -123.08478614152651
Distribution;SMALL;OPEN;2.1;E;0.0;N;"{""coordinates"": [-123.08489293461406, 49.28119706949453], ""type"": ""Point""}";Strathcona;49.28119706949453, -123.08489293461406
Distribution;SMALL;OPEN;3.0;W;0.0;S;"{""coordinates"": [-123.08469554442581, 49.280922780462745], ""type"": ""Point""}";Strathcona;49.280922780462745, -123.08469554442581
Distribution;SMALL;OPEN;37.5;W;0.3;S;"{""coordinates"": [-123.10037737001363, 49.28121049012299], ""type"": ""Point""}";Downtown;49.28121049012299, -123.10037737001363
Distribution;SMALL;OPEN;7.9;E;0.0;N;"{""coordinates"": [-123.11108540903987, 49.25875967447104], ""type"": ""Point""}";Mount Pleasant;49.25875967447104, -123.11108540903987
Distribution;SMALL;OPEN;7.0;W;0.0;S;"{""coordinates"": [-123.11098060442484, 49.26118141215992], ""type"": ""Point""}";Mount Pleasant;49.26118141215992, -123.11098060442484
Distribution;SMALL;OPEN;7.0;W;0.0;N;"{""coordinates"": [-123.1110093503014, 49.2604371028319], ""type"": ""Point""}";Mount Pleasant;49.2604371028319, -123.1110093503014
Distribution;SMALL;OPEN;0.0;E;9.4;S;"{""coordinates"": [-123.10705150451295, 49.281990408382185], ""type"": ""Point""}";Downtown;49.281990408382185, -123.10705150451295
Distribution;SMALL;OPEN;6.7;E;0.0;N;"{""coordinates"": [-123.10943810685637, 49.26225023702042], ""type"": ""Point""}";Mount Pleasant;49.26225023702042, -123.10943810685637
Distribution;SMALL;OPEN;0.0;W;10.7;S;"{""coordinates"": [-123.10239157098933, 49.28142653211515], ""type"": ""Point""}";Downtown;49.28142653211515, -123.10239157098933
Distribution;SMALL;OPEN;0.0;E;12.8;S;"{""coordinates"": [-123.11410319793211, 49.27991339279922], ""type"": ""Point""}";Downtown;49.27991339279922, -123.11410319793211
