DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom;geo_point_2d
150;1953-01-01;Cast Iron;"{""coordinates"": [[-123.13029173977637, 49.25609380378813], [-123.13026623448943, 49.25606279904281], [-123.13024072923446, 49.25603179429167], [-123.13021549886088, 49.256000789224906], [-123.13019013085773, 49.2559696943554], [-123.13016503749901, 49.25593850921853], [-123.13014008183289, 49.25590741387317], [-123.1301151259617, 49.255876228570266], [-123.13009030730984, 49.255844953155155], [-123.1300654886894, 49.25581367773449], [-123.13004080752444, 49.25578240215362], [-123.13001626381471, 49.255751126412626], [-123.12999184358134, 49.255719760575154], [-123.12996757430899, 49.25568830461033], [-123.12994330530366, 49.25565693859216], [-123.12991917351667, 49.25562548246223], [-123.12989517894795, 49.25559393622062], [-123.12987118464581, 49.25556247992575], [-123.12984732732569, 49.255530843567406], [-123.12982360769534, 49.255499297001435]], ""type"": ""LineString""}";49.25579839145938, -123.13005533535787
150;2006-06-21;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.113366788212, 49.21696449043375], [-123.11336654788322, 49.21697348594889]], ""type"": ""LineString""}";49.216968988191326, -123.11336666804759
300;2009-08-25;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.13745138602765, 49.2131330854736], [-123.13745973466908, 49.213133237453945]], ""type"": ""LineString""}";49.21313316146377, -123.13745556034837
150;1969-01-01;Cast Iron;"{""coordinates"": [[-123.19721652128867, 49.228223952060304], [-123.19721940519864, 49.2279408930675]], ""type"": ""LineString""}";49.2280824225639, -123.19721796324365
150;1964-01-01;Cast Iron;"{""coordinates"": [[-123.09915164885888, 49.24577496185632], [-123.09915522213416, 49.24569310216331]], ""type"": ""LineString""}";49.24573403200982, -123.0991534354965
150;1955-01-01;Cast Iron;"{""coordinates"": [[-123.21393070849618, 49.27382040255853], [-123.21195261703983, 49.273789362517306]], ""type"": ""LineString""}";49.27380488253792, -123.212941662768
150;1947-01-01;Cast Iron;"{""coordinates"": [[-123.05580500778244, 49.25392903233945], [-123.05590894980895, 49.25376912803952]], ""type"": ""LineString""}";49.25384908018948, -123.0558569787957
300;1972-01-01;Ductile Iron;"{""coordinates"": [[-123.11387969830078, 49.285355910981814], [-123.11348195275222, 49.28561627174727]], ""type"": ""LineString""}";49.28548609136455, -123.1136808255265
300;;Steel;"{""coordinates"": [[-123.12170610786437, 49.20422823682678], [-123.12207424722979, 49.20460395079381]], ""type"": ""LineString""}";49.204416093810295, -123.12189017754707
300;1991-01-01;Ductile Iron;"{""coordinates"": [[-123.12207424722979, 49.20460395079381], [-123.12217379672627, 49.20469548964492]], ""type"": ""LineString""}";49.204649720219365, -123.12212402197804
200;;Steel;"{""coordinates"": [[-123.15791341784582, 49.25841576703921], [-123.15788766539183, 49.259235059540664]], ""type"": ""LineString""}";49.25882541328994, -123.15790054161883
