DIAMETER_MM;INSTALLATION_DATE;MATERIAL;Geom;geo_point_2d
300;1948-01-01;Cast Iron;"{""coordinates"": [[-123.10843236309681, 49.28128834252902], [-123.10851802135969, 49.28123760127145]], ""type"": ""LineString""}";49.28126297190023, -123.10847519222825
150;1932-01-01;Cast Iron;"{""coordinates"": [[-123.14558051438979, 49.269744418655506], [-123.14558352839856, 49.26965219608345]], ""type"": ""LineString""}";49.26969830736948, -123.14558202139419
150;1932-01-01;Cast Iron;"{""coordinates"": [[-123.14557856761463, 49.26988166984354], [-123.14558013827889, 49.26976142005431]], ""type"": ""LineString""}";49.269821544948925, -123.14557935294675
150;;<blank>;"{""coordinates"": [[-123.05470840506241, 49.27824989819024], [-123.0547084520578, 49.27824266604214]], ""type"": ""LineString""}";49.278246282116186, -123.0547084285601
150;1932-01-01;Cast Iron;"{""coordinates"": [[-123.14576701732156, 49.26459539262364], [-123.14557284896632, 49.264592704986356]], ""type"": ""LineString""}";49.264594048804994, -123.14566993314394
150;1976-01-01;Ductile Iron;"{""coordinates"": [[-123.14554502875959, 49.264592524149315], [-123.1455274593945, 49.264586699395586]], ""type"": ""LineString""}";49.26458961177245, -123.14553624407705
150;1928-01-01;Cast Iron;"{""coordinates"": [[-123.09349287845339, 49.28074474720363], [-123.09328885433739, 49.28073903824824]], ""type"": ""LineString""}";49.28074189272593, -123.0933908663954
200;1985-01-01;Ductile Iron;"{""coordinates"": [[-123.10748298853665, 49.28112539132997], [-123.10748673663274, 49.28111652759259]], ""type"": ""LineString""}";49.281120959461276, -123.1074848625847
600;1948-01-01;Steel;"{""coordinates"": [[-123.10843017441697, 49.281293471834516], [-123.10749080650643, 49.28112286540765]], ""type"": ""LineString""}";49.281208168621085, -123.10796049046169
600;1948-01-01;Steel;"{""coordinates"": [[-123.1074818245307, 49.28112122764501], [-123.10747639134338, 49.28112024322896]], ""type"": ""LineString""}";49.281120735436986, -123.10747910793705
150;1972-01-01;Ductile Iron;"{""coordinates"": [[-123.09352156600315, 49.28029001768987], [-123.09352165639659, 49.280286923275]], ""type"": ""LineString""}";49.28028847048243, -123.09352161119985
150;1954-01-01;Cast Iron;"{""coordinates"": [[-123.05437857342082, 49.27824933426751], [-123.05431715792632, 49.27824923722123]], ""type"": ""LineString""}";49.278249285744366, -123.05434786567358
150;1911-01-01;Cast Iron;"{""coordinates"": [[-123.09356501577713, 49.279288180306736], [-123.09356501189734, 49.279286129408625]], ""type"": ""LineString""}";49.279287154857684, -123.09356501383724
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.10052523112441, 49.24692546146865], [-123.10052479552877, 49.24693424119394]], ""type"": ""LineString""}";49.246929851331295, -123.1005250133266
150;1965-01-01;Cast Iron;"{""coordinates"": [[-123.1692010314529, 49.2632778385155], [-123.16919004897802, 49.26327766569867]], ""type"": ""LineString""}";49.263277752107086, -123.16919554021545
150;2017-10-05;Cast Iron Concrete Lined;"{""coordinates"": [[-123.16919004897802, 49.26327766569867], [-123.16914607790733, 49.263276992471596]], ""type"": ""LineString""}";49.26327732908514, -123.16916806344267
200;1964-01-01;Cast Iron;"{""coordinates"": [[-123.1834530658853, 49.2722001546683], [-123.18345407274718, 49.27217139542463]], ""type"": ""LineString""}";49.27218577504647, -123.18345356931624
150;1956-01-01;Cast Iron;"{""coordinates"": [[-123.07292313760009, 49.25523304071728], [-123.07294711475136, 49.25458743875729]], ""type"": ""LineString""}";49.254910239737285, -123.07293512617572
40;1961-01-01;Copper;"{""coordinates"": [[-123.11373669670557, 49.21320200292692], [-123.11374327870612, 49.21304260898544]], ""type"": ""LineString""}";49.213122305956176, -123.11373998770586
150;1965-01-01;Cast Iron;"{""coordinates"": [[-123.17014932996337, 49.263292160536324], [-123.17000086812183, 49.26329010328371]], ""type"": ""LineString""}";49.263291131910016, -123.17007509904259
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.16820803375485, 49.263262773221385], [-123.16806486323593, 49.26326057084958]], ""type"": ""LineString""}";49.26326167203548, -123.16813644849539
150;1965-01-01;Cast Iron Concrete Lined;"{""coordinates"": [[-123.17663298806355, 49.263388753907414], [-123.17661679602426, 49.263388490813234]], ""type"": ""LineString""}";49.263388622360324, -123.1766248920439
150;1971-12-23;Ductile Iron;"{""coordinates"": [[-123.15113824901478, 49.21719439565449], [-123.15113787113668, 49.21718305309969]], ""type"": ""LineString""}";49.21718872437708, -123.15113806007574
150;1953-01-01;Cast Iron;"{""coordinates"": [[-123.1787615646086, 49.23288391790671], [-123.17870862330498, 49.23288326220638]], ""type"": ""LineString""}";49.232883590056545, -123.17873509395679
200;1925-01-01;Cast Iron;"{""coordinates"": [[-123.15460660371899, 49.215482644833685], [-123.15460660343844, 49.21548255488123]], ""type"": ""LineString""}";49.21548259985746, -123.15460660357871
200;1985-01-01;Ductile Iron;"{""coordinates"": [[-123.10818108526892, 49.283146576826944], [-123.10816413921228, 49.283124977283904]], ""type"": ""LineString""}";49.28313577705542, -123.1081726122406
150;1967-01-01;Cast Iron;"{""coordinates"": [[-123.05810847698163, 49.26676328712398], [-123.05799543303408, 49.266762444400534]], ""type"": ""LineString""}";49.26676286576226, -123.05805195500785
150;1969-01-01;Cast Iron;"{""coordinates"": [[-123.18511175984256, 49.23956178886766], [-123.18501498915515, 49.23958371238764]], ""type"": ""LineString""}";49.239572750627644, -123.18506337449885
200;1961-01-01;Cast Iron;"{""coordinates"": [[-123.05685254580952, 49.26584954083907], [-123.05683605132151, 49.265849369049974]], ""type"": ""LineString""}";49.26584945494452, -123.05684429856551
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.05826287011274, 49.26586755729461], [-123.05826043718423, 49.26586754053101]], ""type"": ""LineString""}";49.26586754891281, -123.0582616536485
200;1961-01-01;Cast Iron;"{""coordinates"": [[-123.05680610010464, 49.2658490779425], [-123.05670964901174, 49.26584844168696]], ""type"": ""LineString""}";49.26584875981473, -123.0567578745582
150;1939-01-01;Cast Iron;"{""coordinates"": [[-123.13502703259613, 49.22957851323559], [-123.13484846233648, 49.229573774428935]], ""type"": ""LineString""}";49.22957614383226, -123.1349377474663
200;;Cast Iron;"{""coordinates"": [[-123.09020435463924, 49.24173585913559], [-123.09020472721052, 49.24172921136263]], ""type"": ""LineString""}";49.24173253524911, -123.09020454092487
200;;Cast Iron;"{""coordinates"": [[-123.09001494655782, 49.248564046296785], [-123.09001444838928, 49.24852432375406]], ""type"": ""LineString""}";49.24854418502542, -123.09001469747356
200;1925-01-01;Cast Iron;"{""coordinates"": [[-123.17594444163532, 49.26448319017165], [-123.17594986628295, 49.26435433454189]], ""type"": ""LineString""}";49.26441876235677, -123.17594715395913
150;1962-01-01;Cast Iron;"{""coordinates"": [[-123.17589062575458, 49.26586624028471], [-123.17589061696177, 49.265863766616334]], ""type"": ""LineString""}";49.26586500345052, -123.17589062135816
300;1982-01-01;Ductile Iron;"{""coordinates"": [[-123.17882063829863, 49.271728701360274], [-123.17864552064273, 49.271710747973295]], ""type"": ""LineString""}";49.27171972466678, -123.17873307947067
150;1962-01-01;Cast Iron;"{""coordinates"": [[-123.18162124385965, 49.272015399742074], [-123.18163556664614, 49.27193260342251]], ""type"": ""LineString""}";49.2719740015823, -123.1816284052529
200;1964-01-01;Cast Iron;"{""coordinates"": [[-123.1817821915051, 49.27202612977912], [-123.18176768288686, 49.27202461442517]], ""type"": ""LineString""}";49.27202537210215, -123.18177493719598
150;1965-01-01;Cast Iron;"{""coordinates"": [[-123.16920115515312, 49.26327783833435], [-123.1692010314529, 49.2632778385155]], ""type"": ""LineString""}";49.263277838424926, -123.169201093303
150;1950-01-01;Cast Iron;"{""coordinates"": [[-123.05790730256548, 49.24395360396213], [-123.05754820184251, 49.243953432584576]], ""type"": ""LineString""}";49.24395351827336, -123.05772775220399
300;2017-10-26;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.12606419147892, 49.2634266060362], [-123.12604665269627, 49.26342632832928]], ""type"": ""LineString""}";49.26342646718274, -123.1260554220876
300;1964-01-01;Cast Iron;"{""coordinates"": [[-123.0236649648049, 49.27309779254744], [-123.02366492638588, 49.27310369339927]], ""type"": ""LineString""}";49.273100742973355, -123.02366494559537
300;1964-01-01;Cast Iron;"{""coordinates"": [[-123.02366521741725, 49.27305110746478], [-123.0236649778895, 49.27309640728567]], ""type"": ""LineString""}";49.27307375737523, -123.02366509765338
200;1925-01-01;Cast Iron;"{""coordinates"": [[-123.17592005665699, 49.26506269860929], [-123.17592146324743, 49.26502146243556]], ""type"": ""LineString""}";49.26504208052243, -123.17592075995222
200;1931-01-01;Cast Iron;"{""coordinates"": [[-123.07626883256113, 49.246444218979455], [-123.07627166674992, 49.24633962954803]], ""type"": ""LineString""}";49.24639192426375, -123.07627024965552
200;1930-01-01;Cast Iron;"{""coordinates"": [[-123.13503318071369, 49.230362784777974], [-123.13503269184221, 49.230374919954315]], ""type"": ""LineString""}";49.23036885236614, -123.13503293627795
200;1931-01-01;Cast Iron;"{""coordinates"": [[-123.13505524424951, 49.229608596388964], [-123.13503318071369, 49.230362784777974]], ""type"": ""LineString""}";49.22998569058346, -123.1350442124816
300;1965-01-01;Steel;"{""coordinates"": [[-123.03082468779581, 49.205287441640316], [-123.03079906827186, 49.20528383236587]], ""type"": ""LineString""}";49.205285637003094, -123.03081187803382
300;1965-01-01;Steel;"{""coordinates"": [[-123.03075023191882, 49.205276945986185], [-123.0298244856504, 49.20514648709179]], ""type"": ""LineString""}";49.20521171653898, -123.0302873587846
200;1931-01-01;Cast Iron;"{""coordinates"": [[-123.07623666128636, 49.247377189592264], [-123.0762684696392, 49.24645836871855]], ""type"": ""LineString""}";49.24691777915541, -123.07625256546277
200;1931-01-01;Cast Iron;"{""coordinates"": [[-123.07635085141665, 49.24365870066915], [-123.0763280321868, 49.24445294106888]], ""type"": ""LineString""}";49.244055820869015, -123.07633944180172
150;1964-01-01;Cast Iron;"{""coordinates"": [[-123.07639297750367, 49.24743624796554], [-123.07638595259888, 49.247433850883965]], ""type"": ""LineString""}";49.24743504942475, -123.07638946505128
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.07637697794232, 49.24459959401382], [-123.07632412070265, 49.24459830664647]], ""type"": ""LineString""}";49.24459895033014, -123.07635054932248
150;1968-01-01;Cast Iron;"{""coordinates"": [[-123.0760335191805, 49.24646805853024], [-123.0760209882317, 49.24646793184803]], ""type"": ""LineString""}";49.246467995189136, -123.0760272537061
150;1950-01-01;Cast Iron;"{""coordinates"": [[-123.05801619913476, 49.24395356731826], [-123.05793614106386, 49.24395359849884]], ""type"": ""LineString""}";49.243953582908546, -123.05797617009931
150;1930-01-01;Cast Iron;"{""coordinates"": [[-123.05212801314714, 49.277430937386775], [-123.05197449794233, 49.27743103352596]], ""type"": ""LineString""}";49.27743098545636, -123.05205125554475
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.07629099304809, 49.247432870183005], [-123.07623482229076, 49.24743215166247]], ""type"": ""LineString""}";49.247432510922735, -123.07626290766942
650;1913-01-01;Steel;"{""coordinates"": [[-123.12601977984232, 49.28396486165513], [-123.12780485625025, 49.28511984242534]], ""type"": ""LineString""}";49.28454235204023, -123.12691231804631
300;1938-01-01;Cast Iron;"{""coordinates"": [[-123.1293819727787, 49.275109383029516], [-123.12939880216666, 49.275099658374934]], ""type"": ""LineString""}";49.27510452070223, -123.12939038747267
150;1948-01-01;Cast Iron;"{""coordinates"": [[-123.08341742839937, 49.258732023509204], [-123.08336610778595, 49.25873009059933]], ""type"": ""LineString""}";49.25873105705426, -123.08339176809267
150;1948-01-01;Cast Iron;"{""coordinates"": [[-123.08533342376741, 49.25874308265733], [-123.0852206748373, 49.25874357965578]], ""type"": ""LineString""}";49.25874333115656, -123.08527704930236
200;1961-01-01;Cast Iron;"{""coordinates"": [[-123.05658434627318, 49.245241522478615], [-123.05658434018231, 49.245212144050235]], ""type"": ""LineString""}";49.245226833264425, -123.05658434322774
300;1952-01-01;Cast Iron;"{""coordinates"": [[-123.12215409074447, 49.2079812133772], [-123.12229101784462, 49.20792233821538]], ""type"": ""LineString""}";49.20795177579629, -123.12222255429455
200;1982-01-01;Ductile Iron;"{""coordinates"": [[-123.03106632983858, 49.205321559022444], [-123.03106632138565, 49.205308066082004]], ""type"": ""LineString""}";49.205314812552224, -123.03106632561212
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.07642895025192, 49.242478509911884], [-123.07640213184035, 49.2424782757842]], ""type"": ""LineString""}";49.24247839284804, -123.07641554104615
300;1965-01-01;Steel;"{""coordinates"": [[-123.03173884527152, 49.205406624595796], [-123.03106632138565, 49.205308066082004]], ""type"": ""LineString""}";49.205357345338896, -123.0314025833286
200;1961-01-01;Cast Iron;"{""coordinates"": [[-123.05658222956673, 49.247020402546276], [-123.05658224634645, 49.24701103850331]], ""type"": ""LineString""}";49.24701572052479, -123.0565822379566
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.05656985357574, 49.24542411481441], [-123.05655535833566, 49.2454241219112]], ""type"": ""LineString""}";49.245424118362806, -123.05656260595569
200;1961-01-01;Cast Iron;"{""coordinates"": [[-123.05658993969985, 49.24381205108917], [-123.05658992351772, 49.24394216717472]], ""type"": ""LineString""}";49.243877109131944, -123.05658993160877
300;1954-01-01;Cast Iron;"{""coordinates"": [[-123.02369218033459, 49.263903131328604], [-123.02369190979178, 49.263940929228475]], ""type"": ""LineString""}";49.263922030278536, -123.02369204506319
150;1954-01-01;Cast Iron;"{""coordinates"": [[-123.07714708089152, 49.257782375171345], [-123.07657202536868, 49.257777810351584]], ""type"": ""LineString""}";49.257780092761465, -123.07685955313012
200;2008-01-01;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.11675489148432, 49.21220815186943], [-123.11675432245124, 49.212223057634944]], ""type"": ""LineString""}";49.21221560475219, -123.11675460696779
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.07530832467944, 49.25256292568252], [-123.07522381233579, 49.252561748393724]], ""type"": ""LineString""}";49.25256233703812, -123.07526606850762
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.07364930062033, 49.25254022079804], [-123.07313479305613, 49.25253325250983]], ""type"": ""LineString""}";49.25253673665394, -123.07339204683822
150;1960-01-01;Cast Iron;"{""coordinates"": [[-123.07583757286709, 49.25255786599488], [-123.07580595709035, 49.25256914876157]], ""type"": ""LineString""}";49.25256350737823, -123.0758217649787
150;1992-01-01;Ductile Iron;"{""coordinates"": [[-123.03141934782509, 49.275039930142064], [-123.03152783061876, 49.27493042018287]], ""type"": ""LineString""}";49.27498517516247, -123.03147358922192
150;1931-01-01;Cast Iron;"{""coordinates"": [[-123.06801866111809, 49.25467100656554], [-123.06802362890285, 49.25460600419063]], ""type"": ""LineString""}";49.25463850537808, -123.06802114501048
150;2006-09-22;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.06803738605777, 49.25426699327191], [-123.06803738599596, 49.25426694829585]], ""type"": ""LineString""}";49.254266970783874, -123.06803738602687
150;2006-09-22;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.06803738599596, 49.25426694829585], [-123.06803757227685, 49.254262504547825]], ""type"": ""LineString""}";49.25426472642184, -123.06803747913642
150;1999-01-01;Ductile Iron;"{""coordinates"": [[-123.06801741341819, 49.254693072571335], [-123.06801866111809, 49.25467100656554]], ""type"": ""LineString""}";49.25468203956843, -123.06801803726815
150;1962-01-01;Cast Iron;"{""coordinates"": [[-123.17588535595688, 49.26579899114816], [-123.17588517765661, 49.26580296730084]], ""type"": ""LineString""}";49.2658009792245, -123.17588526680674
150;1962-01-01;Cast Iron;"{""coordinates"": [[-123.17591285667193, 49.26516390565693], [-123.17588621980771, 49.26577906545068]], ""type"": ""LineString""}";49.2654714855538, -123.17589953823982
100;1911-01-01;Cast Iron;"{""coordinates"": [[-123.10518562030576, 49.260243964210375], [-123.10502337021948, 49.26024120635465]], ""type"": ""LineString""}";49.26024258528251, -123.10510449526261
150;1958-01-01;Cast Iron;"{""coordinates"": [[-123.07294631115715, 49.25773500042207], [-123.0729414873061, 49.257734958491525]], ""type"": ""LineString""}";49.2577349794568, -123.07294389923163
150;2018-05-30;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.1164406891509, 49.23925934686529], [-123.11643384173318, 49.239262655021484]], ""type"": ""LineString""}";49.23926100094339, -123.11643726544204
150;1951-01-01;Cast Iron;"{""coordinates"": [[-123.11656091056297, 49.23920154812089], [-123.11658373080469, 49.239190586876404]], ""type"": ""LineString""}";49.239196067498646, -123.11657232068383
150;1958-01-01;Cast Iron;"{""coordinates"": [[-123.07358272942659, 49.257740326807316], [-123.07302606272495, 49.2577356786544]], ""type"": ""LineString""}";49.25773800273086, -123.07330439607576
150;1958-01-01;Cast Iron;"{""coordinates"": [[-123.07006454266006, 49.25772453245416], [-123.06993049958815, 49.25771906361639]], ""type"": ""LineString""}";49.25772179803528, -123.06999752112411
150;1959-01-01;Cast Iron;"{""coordinates"": [[-123.0762260274938, 49.249011206941795], [-123.07619390074974, 49.24901036459216]], ""type"": ""LineString""}";49.24901078576698, -123.07620996412176
150;1955-01-01;Cast Iron;"{""coordinates"": [[-123.0769888194951, 49.25770479806929], [-123.07697366684208, 49.25769972586937]], ""type"": ""LineString""}";49.25770226196933, -123.07698124316859
300;1965-01-01;Steel;"{""coordinates"": [[-123.033576378724, 49.20567588294346], [-123.03174956822046, 49.205408195825434]], ""type"": ""LineString""}";49.20554203938445, -123.03266297347224
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.06215897660698, 49.265891343196834], [-123.06213971439074, 49.26588726973663]], ""type"": ""LineString""}";49.26588930646673, -123.06214934549884
150;1958-01-01;Cast Iron;"{""coordinates"": [[-123.1310091453561, 49.22943702971742], [-123.13034145923139, 49.22941343483069]], ""type"": ""LineString""}";49.22942523227405, -123.13067530229375
150;1949-01-01;Cast Iron;"{""coordinates"": [[-123.12880372955402, 49.22936104413787], [-123.12841933064543, 49.22934743049929]], ""type"": ""LineString""}";49.22935423731858, -123.12861153009975
600;2000-01-01;Ductile Iron;"{""coordinates"": [[-123.16566159003611, 49.23901485695305], [-123.16566313429902, 49.238967251887594]], ""type"": ""LineString""}";49.238991054420325, -123.16566236216757
600;2000-01-01;Polyvinyl Chloride;"{""coordinates"": [[-123.16566138658054, 49.2390238524925], [-123.16566159003611, 49.23901485695305]], ""type"": ""LineString""}";49.23901935472277, -123.16566148830834
200;1963-01-01;Cast Iron;"{""coordinates"": [[-123.0879359794693, 49.23654197334108], [-123.08794243598179, 49.23654201340249]], ""type"": ""LineString""}";49.23654199337179, -123.08793920772554
200;2006-01-26;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.02368877362535, 49.27033868369944], [-123.0236781750622, 49.27033864089589]], ""type"": ""LineString""}";49.270338662297675, -123.02368347434378
150;;Cast Iron;"{""coordinates"": [[-123.04557645732149, 49.27533963739914], [-123.04557727896443, 49.27529136890804]], ""type"": ""LineString""}";49.2753155031536, -123.04557686814296
150;1929-01-01;Cast Iron;"{""coordinates"": [[-123.04559367389601, 49.27340516161154], [-123.04559699825046, 49.27322346647844]], ""type"": ""LineString""}";49.273314314044995, -123.04559533607325
300;1984-01-01;Ductile Iron;"{""coordinates"": [[-123.10578618746393, 49.277941538703615], [-123.10515125192498, 49.27784571686308]], ""type"": ""LineString""}";49.27789362778335, -123.10546871969446
300;1954-01-01;Cast Iron;"{""coordinates"": [[-123.0236963045752, 49.26335948735184], [-123.02369564275223, 49.26355606867697]], ""type"": ""LineString""}";49.263457778014406, -123.0236959736637
150;1962-01-01;Cast Iron;"{""coordinates"": [[-123.03562172867687, 49.24117699790286], [-123.03546836357137, 49.24111466310657]], ""type"": ""LineString""}";49.24114583050472, -123.03554504612413
200;1975-01-01;Ductile Iron;"{""coordinates"": [[-123.07264942009773, 49.284030539470564], [-123.0726390033362, 49.284380952965435]], ""type"": ""LineString""}";49.28420574621799, -123.07264421171698
150;;Cast Iron;"{""coordinates"": [[-123.09034891663337, 49.24253685315585], [-123.09020573880031, 49.24253351086836]], ""type"": ""LineString""}";49.242535182012105, -123.09027732771683
200;;Cast Iron;"{""coordinates"": [[-123.09001652205521, 49.24847079153069], [-123.0900171653587, 49.24845430277463]], ""type"": ""LineString""}";49.24846254715266, -123.09001684370696
200;;Cast Iron;"{""coordinates"": [[-123.09004932106167, 49.24760984153137], [-123.09004943803232, 49.24760616239098]], ""type"": ""LineString""}";49.24760800196118, -123.090049379547
150;2011-01-19;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.05436245005194, 49.27742721819711], [-123.05435251868856, 49.27743520159612]], ""type"": ""LineString""}";49.27743120989662, -123.05435748437024
200;2003-05-13;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.05190095739755, 49.27743100361505], [-123.05190805160909, 49.27743100942353]], ""type"": ""LineString""}";49.27743100651929, -123.05190450450331
200;2003-05-13;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.05190095739755, 49.27743100361505], [-123.05187904911041, 49.27742433902795]], ""type"": ""LineString""}";49.277427671321504, -123.05189000325399
200;;Cast Iron;"{""coordinates"": [[-123.09020472721052, 49.24172921136263], [-123.0902322607474, 49.241239884787824]], ""type"": ""LineString""}";49.24148454807523, -123.09021849397897
150;;Cast Iron;"{""coordinates"": [[-123.1798923104986, 49.23954611594682], [-123.17886300517183, 49.23954143547507]], ""type"": ""LineString""}";49.23954377571094, -123.17937765783522
150;;Cast Iron;"{""coordinates"": [[-123.18178236789424, 49.239554680269904], [-123.18056410738876, 49.239549169728974]], ""type"": ""LineString""}";49.23955192499944, -123.1811732376415
150;1969-01-01;Cast Iron;"{""coordinates"": [[-123.1846486478637, 49.23958241849763], [-123.18216082178888, 49.239573567850854]], ""type"": ""LineString""}";49.239577993174244, -123.1834047348263
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.04800947287924, 49.21937617142172], [-123.04818830958676, 49.21937650174295]], ""type"": ""LineString""}";49.219376336582336, -123.04809889123301
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.04429129281054, 49.27742882791347], [-123.044156570435, 49.277427458236616]], ""type"": ""LineString""}";49.27742814307504, -123.04422393162278
150;;Cast Iron;"{""coordinates"": [[-123.04675920107509, 49.27817563405287], [-123.04675800620781, 49.277566139006225]], ""type"": ""LineString""}";49.27787088652955, -123.04675860364145
200;2018-10-23;Ductile Iron Concrete Lined;"{""coordinates"": [[-123.1033361917769, 49.23911934252029], [-123.10332245333956, 49.239119048970025]], ""type"": ""LineString""}";49.23911919574516, -123.10332932255824
200;2001-01-01;Ductile Iron;"{""coordinates"": [[-123.13297306146865, 49.21074283747329], [-123.13297328887265, 49.210735479064304]], ""type"": ""LineString""}";49.210739158268794, -123.13297317517065
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.04924552153756, 49.219237843494774], [-123.04924551952668, 49.21923581955906]], ""type"": ""LineString""}";49.21923683152691, -123.04924552053212
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.04675400073542, 49.28017925848239], [-123.04675404253065, 49.28007802672896]], ""type"": ""LineString""}";49.280128642605675, -123.04675402163303
150;1926-01-01;Cast Iron;"{""coordinates"": [[-123.07822288495943, 49.26330537624343], [-123.07788073865626, 49.26330311570362]], ""type"": ""LineString""}";49.26330424597352, -123.07805181180785
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.04673169015526, 49.27743365961056], [-123.04656856377379, 49.27743270901306]], ""type"": ""LineString""}";49.27743318431182, -123.04665012696452
200;1963-01-01;Cast Iron;"{""coordinates"": [[-123.04870511196657, 49.21814583940341], [-123.04871280710394, 49.218151143371024], [-123.04872050224297, 49.21815644733809], [-123.04872806015202, 49.218161841315286], [-123.04873575538276, 49.21816723523408], [-123.04873946567868, 49.21816993225119]], ""type"": ""LineString""}";49.21815782011168, -123.04872233508095
150;1963-01-01;Cast Iron;"{""coordinates"": [[-123.04660518565004, 49.21814572524866], [-123.04645997467576, 49.21807782443941]], ""type"": ""LineString""}";49.21811177484404, -123.0465325801629
200;1962-01-01;Cast Iron;"{""coordinates"": [[-123.03378509619115, 49.24042934357119], [-123.03375976969379, 49.24041904242972]], ""type"": ""LineString""}";49.24042419300046, -123.03377243294247
200;;Cast Iron;"{""coordinates"": [[-123.09027657175464, 49.24042088744958], [-123.09027680002217, 49.24041045279088]], ""type"": ""LineString""}";49.240415670120235, -123.0902766858884
200;1900-01-01;Cast Iron;"{""coordinates"": [[-123.09007386536561, 49.24670583765526], [-123.09007373626247, 49.246710398338436]], ""type"": ""LineString""}";49.246708117996846, -123.09007380081404
200;;Cast Iron;"{""coordinates"": [[-123.09007699848708, 49.246562559158775], [-123.0900791718827, 49.24648840077098]], ""type"": ""LineString""}";49.24652547996487, -123.0900780851849
150;1961-01-01;Cast Iron;"{""coordinates"": [[-123.09014279255089, 49.24452124646362], [-123.09012879198806, 49.244521140448796]], ""type"": ""LineString""}";49.24452119345621, -123.09013579226948
150;1969-01-01;Cast Iron;"{""coordinates"": [[-123.09040196064863, 49.24349946399476], [-123.09017754754977, 49.24349966636772]], ""type"": ""LineString""}";49.24349956518124, -123.0902897540992
300;1955-01-01;Cast Iron;"{""coordinates"": [[-123.05633101891524, 49.26949156515092], [-123.05629412400026, 49.26949159212749]], ""type"": ""LineString""}";49.269491578639204, -123.05631257145775
200;;Cast Iron;"{""coordinates"": [[-123.09015210247144, 49.24365794842071], [-123.09015241093738, 49.24364626336771]], ""type"": ""LineString""}";49.243652105894206, -123.09015225670441
150;1965-01-01;Cast Iron;"{""coordinates"": [[-123.05438405889734, 49.2790493720582], [-123.05432612081272, 49.27904921041358]], ""type"": ""LineString""}";49.27904929123589, -123.05435508985502
150;1932-01-01;Cast Iron;"{""coordinates"": [[-123.10271994332162, 49.24043893656292], [-123.10272304383209, 49.240370614942044]], ""type"": ""LineString""}";49.24040477575248, -123.10272149357685
150;1932-01-01;Cast Iron;"{""coordinates"": [[-123.10272509369851, 49.24032563690819], [-123.10272304383209, 49.240370614942044]], ""type"": ""LineString""}";49.24034812592511, -123.1027240687653
200;1963-01-01;Cast Iron;"{""coordinates"": [[-123.04706842208805, 49.217423585574714], [-123.04706171885863, 49.21742136647265]], ""type"": ""LineString""}";49.217422476023685, -123.04706507047334
200;1963-01-01;Cast Iron;"{""coordinates"": [[-123.04710640248305, 49.21743615448413], [-123.04708129283739, 49.21742784409053]], ""type"": ""LineString""}";49.21743199928733, -123.04709384766022
200;1963-01-01;Cast Iron;"{""coordinates"": [[-123.0472341074101, 49.21747841611512], [-123.04714119610789, 49.21744766323903]], ""type"": ""LineString""}";49.21746303967707, -123.047187651759
200;1963-01-01;Cast Iron;"{""coordinates"": [[-123.0490331789251, 49.21818297703157], [-123.04905337217332, 49.21817635693079], [-123.04908810381914, 49.2181658986619], [-123.0491232482217, 49.21815625877707], [-123.0491589289616, 49.21814742822806], [-123.04919503618433, 49.218139407061166], [-123.04923155615049, 49.21813218628657], [-123.04926835155959, 49.21812578395299], [-123.04930555972432, 49.218120191006314], [-123.0493430433175, 49.21811539850947], [-123.04938066512848, 49.218111514464205], [-123.04941841132862, 49.21810843992825], [-123.0494564467934, 49.21810626478366], [-123.04949448306324, 49.21810489920096], [-123.04953265745988, 49.21810434312133], [-123.04988933500474, 49.2181069781604]], ""type"": ""LineString""}";49.21812028847803, -123.04945832679998
200;1963-01-01;Cast Iron;"{""coordinates"": [[-123.04635382580155, 49.21816529216532], [-123.04639986526348, 49.21811703201965]], ""type"": ""LineString""}";49.21814116209248, -123.04637684553249
200;;Cast Iron;"{""coordinates"": [[-123.0900650908438, 49.24701090877878], [-123.09005418365109, 49.2474126263071]], ""type"": ""LineString""}";49.24721176754294, -123.09005963724744
